Ticker,Earnings_Date,Date,Days_From_Earnings,Open,Close,Next_Day_Open,Regular_Change%,After_Hours_Change%,EPS_Actual,EPS_Estimate,EPS_Surprise,EPS_Surprise_%,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs
AAPL,2018-11-01,2018-11-01,0,43.647499084472656,43.81999969482422,43.647499084472656,0.3952130453516146,-0.3936572605041285,0.73,0.7,0.03,4.2857,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2018-11-01,2018-11-01,0,43.647499084472656,43.81999969482422,43.647499084472656,0.3952130453516146,-0.3936572605041285,0.73,0.7,0.03,4.2857,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2018-07-31,2018-08-01,1,43.587501525878906,43.587501525878906,43.587501525878906,0.0,0.0,0.585,0.545,0.04,7.3394,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2018-07-31,2018-08-01,1,43.587501525878906,43.587501525878906,43.587501525878906,0.0,0.0,0.585,0.545,0.04,7.3394,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2018-05-01,2018-05-01,0,43.36000061035156,43.75,43.36000061035156,0.8994450741666523,-0.8914271763392857,0.6825,0.6725,0.01,1.487,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2018-05-01,2018-05-01,0,43.36000061035156,43.75,43.36000061035156,0.8994450741666523,-0.8914271763392857,0.6825,0.6725,0.01,1.487,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2018-05-01,2018-05-01,0,43.36000061035156,43.75,39.775001525878906,0.8994450741666523,-9.085710797991071,0.6825,0.6725,0.01,1.487,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2018-05-01,2018-05-02,1,39.775001525878906,39.122501373291016,39.775001525878906,-1.6404780076836774,1.6678385320048923,0.6825,0.6725,0.01,1.487,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2018-05-01,2018-05-02,1,39.775001525878906,39.122501373291016,39.775001525878906,-1.6404780076836774,1.6678385320048923,0.6825,0.6725,0.01,1.487,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2018-02-01,2018-02-01,0,42.540000915527344,43.06499862670898,42.540000915527344,1.2341271741487112,-1.2190821500596292,0.9725,0.965,0.0075,0.7772,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2018-02-01,2018-02-01,0,42.540000915527344,43.06499862670898,42.540000915527344,1.2341271741487112,-1.2190821500596292,0.9725,0.965,0.0075,0.7772,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2018-02-01,2018-02-01,0,42.540000915527344,43.06499862670898,41.5,1.2341271741487112,-3.6340384920815088,0.9725,0.965,0.0075,0.7772,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2018-02-01,2018-02-02,1,41.5,40.125,41.5,-3.313253012048193,3.4267912772585665,0.9725,0.965,0.0075,0.7772,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2018-02-01,2018-02-02,1,41.5,40.125,41.5,-3.313253012048193,3.4267912772585665,0.9725,0.965,0.0075,0.7772,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2017-11-02,2017-11-01,-1,29.684999465942383,29.9375,29.684999465942383,0.8505997594755264,-0.8434255834909969,0.5175,0.4675,0.05,10.6952,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2017-11-02,2017-11-01,-1,29.684999465942383,29.9375,29.684999465942383,0.8505997594755264,-0.8434255834909969,0.5175,0.4675,0.05,10.6952,Technology,"Computers, Office Equipment",yes,no,no,no
AAPL,2017-08-01,2017-08-02,1,32.837501525878906,33.0099983215332,32.837501525878906,0.5253042638410047,-0.5225592378833086,0.4175,0.3925,0.025,6.3694,Technology,"Computers, Office Equipment",yes,no,no,no
