Ticker,Earnings_Date,Date,Days_From_Earnings,Open,Close,Next_Day_Open,Regular_Change%,After_Hours_Change%,EPS_Actual,EPS_Estimate,EPS_Surprise,EPS_Surprise_%,Sector,EPS_Surprise_Bin
AAPL,2022-10-27,2022-10-24,-3,147.19000244140625,149.4499969482422,150.08999633789062,1.5354266385963282,0.4282364688639528,1.29,1.27,0.02,1.5748,Technology,>0%
AAPL,2022-10-27,2022-10-26,-1,150.9600067138672,149.35000610351562,150.9600067138672,-1.0665080410357903,1.0780050515938104,1.29,1.27,0.02,1.5748,Technology,>0%
AAPL,2022-10-27,2022-10-27,0,148.07000732421875,144.8000030517578,148.07000732421875,-2.2084177150750275,2.258290195817258,1.29,1.27,0.02,1.5748,Technology,>0%
AAPL,2022-07-28,2022-07-25,-3,154.00999450683594,152.9499969482422,154.00999450683594,-0.6882654349725988,0.6930353577924228,1.2,1.16,0.04,3.4483,Technology,>0%
AAPL,2022-07-28,2022-07-26,-2,152.25999450683594,151.60000610351562,152.5800018310547,-0.4334614653428753,0.6464351504510502,1.2,1.16,0.04,3.4483,Technology,>0%
AAPL,2022-07-28,2022-07-27,-1,152.5800018310547,156.7899932861328,156.97999572753906,2.7592026507770453,0.1211827600882068,1.2,1.16,0.04,3.4483,Technology,>0%
AAPL,2022-07-28,2022-07-28,0,156.97999572753906,157.35000610351562,161.24000549316406,0.2357054312950598,2.472195258187235,1.2,1.16,0.04,3.4483,Technology,>0%
AAPL,2022-04-28,2022-04-26,-2,162.25,156.8000030517578,162.25,-3.359011986589946,3.4757632922004524,1.52,1.43,0.09,6.2937,Technology,>5%
AAPL,2022-04-28,2022-04-27,-1,155.91000366210938,156.57000732421875,159.25,0.4233234857333114,1.711689691775789,1.52,1.43,0.09,6.2937,Technology,>5%
AAPL,2022-04-28,2022-04-29,1,161.83999633789062,157.64999389648438,161.83999633789062,-2.5889783342915647,2.657787886853631,1.52,1.43,0.09,6.2937,Technology,>5%
AAPL,2022-01-27,2022-01-25,-2,158.97999572753906,159.77999877929688,163.5,0.5032098837949794,2.328202058532708,2.1,1.89,0.21,11.1111,Technology,>10%
AAPL,2022-01-27,2022-01-26,-1,163.5,159.69000244140625,163.5,-2.330273736142966,2.385871062899959,2.1,1.89,0.21,11.1111,Technology,>10%
AAPL,2022-01-27,2022-01-27,0,162.4499969482422,159.22000122070312,162.4499969482422,-1.988301500903176,2.02863691921582,2.1,1.89,0.21,11.1111,Technology,>10%
AAPL,2021-10-28,2021-10-25,-3,148.67999267578125,148.63999938964844,148.67999267578125,-0.0268989024098378,0.0269061398661427,1.24,1.24,0.0,0.0,Technology,<=0%
AAPL,2021-10-28,2021-10-26,-2,149.3300018310547,149.32000732421875,149.3300018310547,-0.0066928994263623,0.0066933474053724,1.24,1.24,0.0,0.0,Technology,<=0%
AAPL,2021-10-28,2021-10-27,-1,149.36000061035156,148.85000610351562,149.36000061035156,-0.3414532035028605,0.3426231010573617,1.24,1.24,0.0,0.0,Technology,<=0%
AAPL,2021-07-27,2021-07-26,-1,148.27000427246094,148.99000549316406,149.1199951171875,0.4856014028164799,0.0872472107059568,1.3,1.01,0.29,28.7129,Technology,>10%
AAPL,2021-07-27,2021-07-27,0,149.1199951171875,146.77000427246094,149.1199951171875,-1.5759059292349074,1.6011383636428094,1.3,1.01,0.29,28.7129,Technology,>10%
AAPL,2021-07-27,2021-07-30,3,144.3800048828125,145.86000061035156,146.36000061035156,1.0250697309092878,0.3427944590070949,1.3,1.01,0.29,28.7129,Technology,>10%
AAPL,2021-04-28,2021-04-26,-2,134.8300018310547,134.72000122070312,134.8300018310547,-0.0815846687367074,0.0816512836660055,1.4,0.99,0.41,41.4141,Technology,>10%
AAPL,2021-04-28,2021-04-27,-1,135.00999450683594,134.38999938964844,135.00999450683594,-0.4592216446287671,0.4613402187687307,1.4,0.99,0.41,41.4141,Technology,>10%
AAPL,2021-04-28,2021-04-28,0,134.30999755859375,133.5800018310547,136.47000122070312,-0.5435155541720537,2.163497042995676,1.4,0.99,0.41,41.4141,Technology,>10%
AAPL,2021-04-28,2021-04-29,1,136.47000122070312,133.47999572753906,136.47000122070312,-2.1909617252282,2.240040147489439,1.4,0.99,0.41,41.4141,Technology,>10%
AAPL,2021-04-28,2021-04-30,2,131.77999877929688,131.4600067138672,132.0399932861328,-0.2428229385292417,0.4411886069107013,1.4,0.99,0.41,41.4141,Technology,>10%
AAPL,2021-01-27,2021-01-25,-2,143.07000732421875,142.9199981689453,143.07000732421875,-0.1048501765527232,0.1049602275366055,1.68,1.41,0.27,19.1489,Technology,>10%
AAPL,2021-01-27,2021-01-26,-1,143.60000610351562,143.16000366210938,143.60000610351562,-0.3064083723569409,0.3073501188535572,1.68,1.41,0.27,19.1489,Technology,>10%
AAPL,2021-01-27,2021-01-27,0,143.42999267578125,142.05999755859375,143.42999267578125,-0.955166413683314,0.9643778267857812,1.68,1.41,0.27,19.1489,Technology,>10%
AAPL,2021-01-27,2021-01-28,1,139.52000427246094,137.08999633789062,139.52000427246094,-1.7416914135301227,1.7725640086684262,1.68,1.41,0.27,19.1489,Technology,>10%
AAPL,2021-01-27,2021-01-29,2,135.8300018310547,131.9600067138672,135.8300018310547,-2.8491460391799146,2.9327030314411284,1.68,1.41,0.27,19.1489,Technology,>10%
